3086_UGLY_TRUTH_00.23.23.000-00.23.28.886	00.23.23.000	00.23.28.886	00.23.23.000	00.23.28.886	SOMEONE stands below, hands on her hips.
3071_THE_DESCENDANTS_01.41.52.043-01.41.54.754	01.41.52.043	01.41.54.754	01.41.52.043	01.41.54.754	SOMEONE's face contorts in anguish as she gazes at the comatose woman.
3035_INSIDE_MAN_00.52.49.736-00.52.55.829	00.52.49.736	00.52.55.829	00.52.49.736	00.52.55.829	As the young hostage takes the pizza slice in hand, SOMEONE takes another bale of cash off a shelf.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.44.29.000-01.44.31.167	01.44.29.000	01.44.31.167	01.44.29.000	01.44.31.167	SOMEONE gazes at the beautiful animal.
1012_Unbreakable_00.56.36.981-00.56.38.167	00.56.36.981	00.56.38.167	00.56.36.574	00.56.38.574	SOMEONE pulls out his walkie-talkie.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.07.17.409-02.07.23.396	02.07.17.409	02.07.23.396	02.07.17.409	02.07.23.396	A cabin trunk packs itself, folds up its contents neatly and closes.
1040_The_Ugly_Truth_01.07.34.283-01.07.37.036	01.07.34.283	01.07.37.036	01.07.34.283	01.07.37.036	SOMEONE watches, smiling.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.55.33.337-01.55.44.169	01.55.33.337	01.55.44.169	01.55.33.337	01.55.44.169	People use the dead ferrets to lure Buckbeak deeper and deeper into the safety of the forest.
3011_BLIND_DATING_00.39.28.135-00.39.35.341	00.39.28.135	00.39.35.341	00.39.28.135	00.39.35.341	Comes out from under his limo and faces SOMEONE.
3069_THE_BOUNTY_HUNTER_01.22.37.148-01.22.40.607	01.22.37.148	01.22.40.607	01.22.37.148	01.22.40.607	He breaks off the top and falls back onto the bed.
3035_INSIDE_MAN_01.21.01.657-01.21.04.366	01.21.01.657	01.21.04.366	01.21.01.657	01.21.04.366	The unmasked boy sits beside his disguised father.
3069_THE_BOUNTY_HUNTER_00.20.08.125-00.20.13.754	00.20.08.125	00.20.13.754	00.20.08.125	00.20.13.754	Now, in SOMEONE's pink-tiled bathroom, SOMEONE searches a vanity then picks through dirty laundry strewn around the tub.
3071_THE_DESCENDANTS_01.03.59.000-01.04.00.809	01.03.59.000	01.04.00.809	01.03.58.905	01.04.00.905	Flailing her arms, SOMEONE prances out of the room.
1034_Super_8_01.37.39.138-01.37.44.593	01.37.39.138	01.37.44.593	01.37.39.138	01.37.44.593	It leans in close and retracts some protective membranes from over its eyes and its expression softens.
3071_THE_DESCENDANTS_01.40.19.147-01.40.23.216	01.40.19.147	01.40.23.216	01.40.19.147	01.40.23.216	He and SOMEONE turn toward SOMEONE.
3069_THE_BOUNTY_HUNTER_01.23.53.603-01.23.54.731	01.23.53.603	01.23.54.731	01.23.53.167	01.23.55.167	Meanwhile, SOMEONE drives SOMEONE's car.
3069_THE_BOUNTY_HUNTER_01.21.07.634-01.21.08.752	01.21.07.634	01.21.08.752	01.21.07.193	01.21.09.193	He snuffs the last one with his hand.
3056_PUBLIC_ENEMIES_00.38.41.616-00.38.43.727	00.38.41.616	00.38.43.727	00.38.41.616	00.38.43.727	The baby-faced man nods.
3086_UGLY_TRUTH_01.31.03.885-01.31.10.028	01.31.03.885	01.31.10.028	01.31.03.885	01.31.10.028	Light filters into SOMEONE's darkened bedroom through the drawn curtains, offering a shadowy view of the couple in bed.
3056_PUBLIC_ENEMIES_01.30.24.096-01.30.30.567	01.30.24.096	01.30.30.567	01.30.24.096	01.30.30.567	Now, Baby Face reaches an unpaved road.
3069_THE_BOUNTY_HUNTER_01.26.16.103-01.26.16.865	01.26.16.103	01.26.16.865	01.26.15.484	01.26.17.484	A red and black bowling shirt hangs on the back of the chair.
3056_PUBLIC_ENEMIES_01.13.01.136-01.13.04.453	01.13.01.136	01.13.04.453	01.13.01.136	01.13.04.453	and heads over to a group of well-dressed boys standing in two lines.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.08.54.396-00.08.58.517	00.08.54.396	00.08.58.517	00.08.54.396	00.08.58.517	SOMEONE stares nervously at the bushes.
3071_THE_DESCENDANTS_01.23.56.682-01.24.00.711	01.23.56.682	01.24.00.711	01.23.56.682	01.24.00.711	SOMEONE looks down shamefully.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.33.59.016-00.34.01.311	00.33.59.016	00.34.01.311	00.33.59.016	00.34.01.311	All but SOMEONE step back.
3071_THE_DESCENDANTS_00.05.47.276-00.05.49.505	00.05.47.276	00.05.49.505	00.05.47.276	00.05.49.505	The car arrives at a house.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.20.27.037-00.20.28.046	00.20.27.037	00.20.28.046	00.20.26.542	00.20.28.542	The lights go out.
3056_PUBLIC_ENEMIES_00.11.33.957-00.11.39.682	00.11.33.957	00.11.39.682	00.11.33.957	00.11.39.682	Trigger handle and pulls out a coil.
1041_This_is_40_01.36.07.440-01.36.10.107	01.36.07.440	01.36.10.107	01.36.07.440	01.36.10.107	SOMEONE's door slides open across the bathroom they share.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.36.05.525-00.36.13.349	00.36.05.525	00.36.13.349	00.36.05.525	00.36.13.349	The four-legged creature, half-horse, half-eagle, rises above the trees.
3069_THE_BOUNTY_HUNTER_01.21.54.087-01.21.59.234	01.21.54.087	01.21.59.234	01.21.54.087	01.21.59.234	She settles onto a window bench.
3069_THE_BOUNTY_HUNTER_01.24.48.026-01.24.49.050	01.24.48.026	01.24.49.050	01.24.47.538	01.24.49.538	She grabs her breasts.
3064_SPARKLE_2012_00.26.29.000-00.26.32.308	00.26.29.000	00.26.32.308	00.26.29.000	00.26.32.308	He comes to their table.
3056_PUBLIC_ENEMIES_01.59.33.391-01.59.38.266	01.59.33.391	01.59.38.266	01.59.33.391	01.59.38.266	Parked near the Biograph, SOMEONE tensely rubs his thin-lipped mouth.
1012_Unbreakable_01.15.36.273-01.15.40.628	01.15.36.273	01.15.40.628	01.15.36.273	01.15.40.628	A young woman lies in the burning car, unconscious.
1017_Bad_Santa_00.04.55.979-00.05.06.699	00.04.55.979	00.05.06.699	00.04.55.979	00.05.06.699	The security guard says farewell to the last shoppers.
3011_BLIND_DATING_01.15.51.023-01.15.54.907	01.15.51.023	01.15.54.907	01.15.51.023	01.15.54.907	The brothers embrace.
3071_THE_DESCENDANTS_01.31.56.555-01.31.59.137	01.31.56.555	01.31.59.137	01.31.56.555	01.31.59.137	With a frown, he sits up.
1004_Juno_00.16.34.030-00.16.36.162	00.16.34.030	00.16.36.162	00.16.34.030	00.16.36.162	Liberty Bell smiles slowly.
3069_THE_BOUNTY_HUNTER_00.53.41.442-00.53.43.804	00.53.41.442	00.53.43.804	00.53.41.442	00.53.43.804	She claps a hand to her mouth.
3071_THE_DESCENDANTS_01.09.59.036-01.10.00.403	01.09.59.036	01.10.00.403	01.09.58.720	01.10.00.720	Beside him, SOMEONE lies down and chats with a reclining SOMEONE.
3071_THE_DESCENDANTS_01.22.32.000-01.22.34.489	01.22.32.000	01.22.34.489	01.22.32.000	01.22.34.489	SOMEONE faces SOMEONE anxiously.
3035_INSIDE_MAN_00.17.03.278-00.17.05.866	00.17.03.278	00.17.05.866	00.17.03.278	00.17.05.866	takes one out.
3035_INSIDE_MAN_00.05.33.026-00.05.35.238	00.05.33.026	00.05.35.238	00.05.33.026	00.05.35.238	She catches him looking.
1041_This_is_40_00.33.21.707-00.33.24.510	00.33.21.707	00.33.24.510	00.33.21.707	00.33.24.510	SOMEONE moves away.
3064_SPARKLE_2012_00.44.01.280-00.44.06.172	00.44.01.280	00.44.06.172	00.44.01.280	00.44.06.172	SOMEONE sits at the head of the table.
3026_FRIENDS_WITH_BENEFITS_00.18.17.624-00.18.19.272	00.18.17.624	00.18.19.272	00.18.17.448	00.18.19.448	He grabs his bags.
3064_SPARKLE_2012_01.35.43.000-01.35.48.952	01.35.43.000	01.35.48.952	01.35.43.000	01.35.48.952	SOMEONE ambles across the stage toward her.
3056_PUBLIC_ENEMIES_00.07.15.865-00.07.19.585	00.07.15.865	00.07.19.585	00.07.15.865	00.07.19.585	SOMEONE peers out the smeared windshield with a solemn expression.
3026_FRIENDS_WITH_BENEFITS_00.39.15.000-00.39.20.043	00.39.15.000	00.39.20.043	00.39.15.000	00.39.20.043	She grins and they start to have sex.
3056_PUBLIC_ENEMIES_00.22.40.433-00.22.44.915	00.22.40.433	00.22.44.915	00.22.40.433	00.22.44.915	SOMEONE eyes the brunette in the red dress as she returns to her table.
3011_BLIND_DATING_01.17.26.711-01.17.31.220	01.17.26.711	01.17.31.220	01.17.26.711	01.17.31.220	He touches the glass.
3035_INSIDE_MAN_00.07.25.321-00.07.26.429	00.07.25.321	00.07.26.429	00.07.24.875	00.07.26.875	A narrow eyed man tries to run.
3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON_01.41.18.243-01.41.21.881	01.41.18.243	01.41.21.881	01.41.18.243	01.41.21.881	SOMEONE frowns.
3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON_01.28.54.177-01.28.59.917	01.28.54.177	01.28.59.917	01.28.54.177	01.28.59.917	SOMEONE bows, then exits the stage with the other dancers.
3056_PUBLIC_ENEMIES_01.44.15.040-01.44.16.219	01.44.15.040	01.44.16.219	01.44.14.630	01.44.16.630	In the outer office, the burly agent downs a paper cup of water.
3056_PUBLIC_ENEMIES_01.47.35.064-01.47.40.146	01.47.35.064	01.47.40.146	01.47.35.064	01.47.40.146	He uncuffs SOMEONE's right arm from the chair.
3086_UGLY_TRUTH_00.23.13.700-00.23.15.851	00.23.13.700	00.23.15.851	00.23.13.700	00.23.15.851	SOMEONE jumps out the living room window.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.27.22.962-01.27.25.698	01.27.22.962	01.27.25.698	01.27.22.962	01.27.25.698	The huge blade swings down.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.28.06.407-00.28.09.206	00.28.06.407	00.28.09.206	00.28.06.407	00.28.09.206	SOMEONE chews the sweet.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.09.23.398-01.09.26.928	01.09.23.398	01.09.26.928	01.09.23.398	01.09.26.928	Chocolate.
3086_UGLY_TRUTH_00.45.10.000-00.45.15.144	00.45.10.000	00.45.15.144	00.45.10.000	00.45.15.144	As they each head back to their own doors, they share another glance.
3086_UGLY_TRUTH_01.13.58.451-01.14.00.905	01.13.58.451	01.14.00.905	01.13.58.451	01.14.00.905	The doors start to close again and SOMEONE pushes them open.
3026_FRIENDS_WITH_BENEFITS_01.19.11.350-01.19.18.550	01.19.11.350	01.19.18.550	01.19.11.350	01.19.18.550	Left alone, SOMEONE lifts away a top panel of the box and climbs out.
1017_Bad_Santa_00.45.31.366-00.45.35.050	00.45.31.366	00.45.35.050	00.45.31.366	00.45.35.050	Again, SOMEONE, the security chief, walks up behind a boy pursuing a shelf of video games.
3039_JACK_AND_JILL_00.53.13.140-00.53.15.734	00.53.13.140	00.53.15.734	00.53.13.140	00.53.15.734	Lifting it over an opposing player.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.15.29.160-00.15.32.945	00.15.29.160	00.15.32.945	00.15.29.160	00.15.32.945	The book scurries underneath in a flurry of torn paper.
3071_THE_DESCENDANTS_01.32.30.502-01.32.35.188	01.32.30.502	01.32.35.188	01.32.30.502	01.32.35.188	Now, he enters the large house, allowing sunlight to filter through the screen door into the unlit living room.
3039_JACK_AND_JILL_00.06.15.000-00.06.19.050	00.06.15.000	00.06.19.050	00.06.15.000	00.06.19.050	Later at the airport.
3071_THE_DESCENDANTS_00.51.06.847-00.51.09.851	00.51.06.847	00.51.09.851	00.51.06.847	00.51.09.851	SOMEONE shows the cellphone to SOMEONE and her eyes widen.
3035_INSIDE_MAN_01.37.51.946-01.37.55.608	01.37.51.946	01.37.55.608	01.37.51.946	01.37.55.608	Others halt before the supply room.
3069_THE_BOUNTY_HUNTER_00.54.53.038-00.55.00.791	00.54.53.038	00.55.00.791	00.54.53.038	00.55.00.791	He backs the car away from the pedicab, steers around it, and drives off.
3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON_00.48.57.000-00.49.04.608	00.48.57.000	00.49.04.608	00.48.57.000	00.49.04.608	A teacher corrects his form.
3071_THE_DESCENDANTS_01.07.59.057-01.08.00.181	01.07.59.057	01.08.00.181	01.07.58.619	01.08.00.619	In a faded black t-shirt, SOMEONE jogs along the shoreline.
1012_Unbreakable_01.36.04.739-01.36.12.405	01.36.04.739	01.36.12.405	01.36.04.739	01.36.12.405	SOMEONE wanders in wearing a casual brown jacket and open-neck shirt, glances around him, and stops in front of a picture.
3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON_00.32.11.513-00.32.19.742	00.32.11.513	00.32.19.742	00.32.11.513	00.32.19.742	Throughout the cafeteria, students dance together and clap their hands.
1041_This_is_40_01.33.50.131-01.33.54.825	01.33.50.131	01.33.54.825	01.33.50.131	01.33.54.825	Entering the parking lot together, SOMEONE moves in front of SOMEONE and heads to her silver SUV.
1040_The_Ugly_Truth_01.18.33.120-01.18.36.472	01.18.33.120	01.18.36.472	01.18.33.120	01.18.36.472	SOMEONE wanders off with his hands in his pockets.
1012_Unbreakable_00.13.48.031-00.13.51.698	00.13.48.031	00.13.51.698	00.13.48.031	00.13.51.698	SOMEONE's sitting alone at the table in a small dimly lit kitchen.
1041_This_is_40_02.07.10.135-02.07.13.875	02.07.10.135	02.07.13.875	02.07.10.135	02.07.13.875	Setting her own drink down, she faces the stage and takes his hand.
3069_THE_BOUNTY_HUNTER_01.22.51.330-01.22.54.171	01.22.51.330	01.22.54.171	01.22.51.330	01.22.54.171	He watches as it disappears around a corner.
3056_PUBLIC_ENEMIES_01.14.42.847-01.14.48.958	01.14.42.847	01.14.48.958	01.14.42.847	01.14.48.958	the lights fade down and a new story begins.
3064_SPARKLE_2012_00.52.35.000-00.52.43.009	00.52.35.000	00.52.43.009	00.52.35.000	00.52.43.009	She stares out for a moment toward her oldest daughter, then gently closes the front door.
3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON_01.09.20.953-01.09.36.232	01.09.20.953	01.09.36.232	01.09.20.953	01.09.36.232	As SOMEONE takes a drink, SOMEONE touches the wig's blonde curls.
3056_PUBLIC_ENEMIES_01.45.41.728-01.45.43.622	01.45.41.728	01.45.43.622	01.45.41.675	01.45.43.675	Things and move out.
3071_THE_DESCENDANTS_00.35.31.398-00.35.34.346	00.35.31.398	00.35.34.346	00.35.31.398	00.35.34.346	SOMEONE bounds up and clasps it.
3035_INSIDE_MAN_00.23.25.089-00.23.26.840	00.23.25.089	00.23.26.840	00.23.24.965	00.23.26.965	Now, one of the young criminals exits the bank.
3039_JACK_AND_JILL_00.08.43.434-00.08.45.926	00.08.43.434	00.08.45.926	00.08.43.434	00.08.45.926	Poopsie perches on the footboard.
3056_PUBLIC_ENEMIES_02.09.13.491-02.09.17.311	02.09.13.491	02.09.17.311	02.09.13.491	02.09.17.311	SOMEONE swallows, blinks her glistening eyes, then gives a stony nod.
3064_SPARKLE_2012_01.01.49.687-01.01.53.952	01.01.49.687	01.01.53.952	01.01.49.687	01.01.53.952	He points at Sister.
3069_THE_BOUNTY_HUNTER_00.07.14.000-00.07.17.530	00.07.14.000	00.07.17.530	00.07.14.000	00.07.17.530	She leaves.
3069_THE_BOUNTY_HUNTER_01.02.49.625-01.02.50.963	01.02.49.625	01.02.50.963	01.02.49.294	01.02.51.294	The woman scowls suspiciously.
